Non-Terminal,!=,"""",%,&&,(,),*,+,+=,",",-,-=,/,;,<,<=,=,==,>,>=,diov,elihw,eslaf,esle,eurt,fed,fi,id,id(,nruter,num,od,rof,taolf,tni,tnirp(,{,},$
Args,,E ArgsTail,,,E ArgsTail,ε,,,,,,,,,,,,,,,Type E,,E ArgsTail,,E ArgsTail,,,E ArgsTail,E ArgsTail,,E ArgsTail,,,Type E,Type E,,,,
ArgsTail,,,,,,ε,,,,", E ArgsTail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,Block,ε,ε
Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{ Program },,
DoWhileStmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,od Block elihw ( E ),,,,,,,
E,,T E',,,T E',,,,,,,,,,,,,,,,,,T E',,T E',,,T E',T E',,T E',,,,,,,,
E',,ε,,,ε,ε,,+ T E',,ε,- T E',,,ε,,,,,,,ε,ε,ε,,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,,ε,ε
ExprStmt,,E,,,E,,,,,,,,,,,,,,,,,,E,,E,,,E,E,,E,,,,,,,,
F,,""" id """,,,( E ),,,,,,,,,,,,,,,,,,eslaf,,eurt,,,id,id( Args ) B,,num,,,,,,,,
ForStmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rof ( OptExpr ; OptExpr ; OptExpr ) Block,,,,,,
FuncDecl,,,,,,,,,,,,,,,,,,,,,,,,,,fed id ( Params ) { Program },,,,,,,,,,,,,
G,,F G',,,F G',,,,,,,,,,,,,,,,,,F G',,F G',,,F G',F G',,F G',,,,,,,,
G',!= F G',ε,% F G',&& F G',ε,ε,ε,ε,+= F G',ε,ε,-= F G',ε,ε,< F G',<= F G',= F G',== F G',> F G',>= F G',ε,ε,ε,,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,,ε,ε
IfStmt,,,,,,,,,,,,,,,,,,,,,,,,,,,fi ( E ) Block IfStmtail,,,,,,,,,,,,
IfStmtail,,ε,,,ε,,,,,,,,,,,,,,,,ε,ε,ε,esle Block,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,,ε,ε
OptExpr,,E,,,E,ε,,,,,,,,ε,,,,,,,,,E,,E,,,E,E,,E,,,,,,,,
Param,,,,,,,,,,,,,,,,,,,,,,,,,,,,id,,,,,,,,,,,
Params,,,,,,ε,,,,,,,,,,,,,,,,,,,,,,Param ParamsTail,,,,,,,,,,,
ParamsTail,,,,,,ε,,,,", Param ParamsTail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PrintStmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tnirp( Args ),,,
Program,,Stmt Program,,,Stmt Program,,,,,,,,,,,,,,,,Stmt Program,Stmt Program,Stmt Program,,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,,ε,ε
ReturnStmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nruter E,,,,,,,,,
Stmt,,ExprStmt,,,ExprStmt,,,,,,,,,,,,,,,,VarDecl,WhileStmt,ExprStmt,,ExprStmt,FuncDecl,IfStmt,ExprStmt,ExprStmt,ReturnStmt,ExprStmt,DoWhileStmt,ForStmt,VarDecl,VarDecl,PrintStmt,,,
T,,G T',,,G T',,,,,,,,,,,,,,,,,,G T',,G T',,,G T',G T',,G T',,,,,,,,
T',,ε,,,ε,ε,* G T',ε,,ε,ε,,/ G T',ε,,,,,,,ε,ε,ε,,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,,ε,ε
Type,,,,,,,,,,,,,,,,,,,,,diov,,,,,,,,,,,,,taolf,tni,,,,
VarDecl,,,,,,,,,,,,,,,,,,,,,Type E,,,,,,,,,,,,,Type E,Type E,,,,
WhileStmt,,,,,,,,,,,,,,,,,,,,,,elihw ( E ) Block,,,,,,,,,,,,,,,,,
