Non-Terminal,(,),*,+,-,/,;,<,=,>,a,diov,elihw(,eslaf,esle,eurt,fed,fi(,id(,nruter,num,od,rof(,taolf,tni,tnirp(,{,},$
Program,Stmt Program,,,,,,,,,,Stmt Program,Stmt Program,Stmt Program,Stmt Program,,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,,ε,
Stmt,ExprStmt,,,,,,,,,,ExprStmt,ExprStmt,WhileStmt,ExprStmt,,ExprStmt,FuncDecl,IfStmt,ExprStmt,ExprStmt,ExprStmt,DoWhileStmt,ForStmt,ExprStmt,ExprStmt,PrintStmt,,,
Block,,,,,,,,,,,,,,,,,,,,,,,,,,,{ Program },,
DoWhileStmt,,,,,,,,,,,,,,,,,,,,,,od Block elihw( E ),,,,,,,
WhileStmt,,,,,,,,,,,,,elihw( E ) Block,,,,,,,,,,,,,,,,
ForStmt,,,,,,,,,,,,,,,,,,,,,,,rof( OptExpr ; OptExpr ; OptExpr ) Block,,,,,,
OptExpr,E,ε,,,,,ε,,,,E,E,,E,,E,,,E,E,E,,,E,E,,,,
IfStmt,,,,,,,,,,,,,,,,,,fi( E ) Block IfStmtail,,,,,,,,,,,
IfStmtail,ε,,,,,,,,,,ε,ε,ε,ε,esle Block,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,,ε,
FuncDecl,,,,,,,,,,,,,,,,,fed id ( Params ) { Program },,,,,,,,,,,,
Params,,ε,,,,,,,,,Param ParamsTail,Param ParamsTail,,Param ParamsTail,,Param ParamsTail,,,,Param ParamsTail,,,,Param ParamsTail,Param ParamsTail,,,,
ParamsTail,,ε,,,,,; Param ParamsTail,,,,,,,,,,,,,,,,,,,,,,
Param,,,,,,,,,,,id,id,,id,,id,,,,id,,,,id,id,,,,
ExprStmt,E,,,,,,,,,,E,E,,E,,E,,,E,E,E,,,E,E,,,,
PrintStmt,,,,,,,,,,,,,,,,,,,,,,,,,,tnirp( Args ),,,
Args,E ArgsTail,,,,,,,,,,E ArgsTail,E ArgsTail,,E ArgsTail,,E ArgsTail,,,E ArgsTail,E ArgsTail,E ArgsTail,,,E ArgsTail,E ArgsTail,,,,
ArgsTail,,ε,,,,,; E ArgsTail,,,,,,,,,,,,,,,,,,,,,,
E,T E',,,,,,,,,,T E',T E',,T E',,T E',,,T E',T E',T E',,,T E',T E',,,,
E',ε,ε,,+ T E',- T E',,ε,,,,ε,ε,ε,ε,,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,,ε,ε
T,G T',,,,,,,,,,G T',G T',,G T',,G T',,,G T',G T',G T',,,G T',G T',,,,
T',ε,ε,* G T',ε,ε,/ G T',ε,,,,ε,ε,ε,ε,,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,,ε,ε
G,F G',,,,,,,,,,F G',F G',,F G',,F G',,,F G',F G',F G',,,F G',F G',,,,
G',ε,ε,ε,ε,ε,ε,ε,< F G',= F G',> F G',ε,ε,ε,ε,,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,,ε,ε
F,( E ),,,,,,,,,,id,id,,id,,id,,,id( Args ),id,num,,,id,id,,,,
id,,,,,,,,,,,a,diov,,eslaf,,eurt,,,,nruter,,,,taolf,tni,,,,
