Non-Terminal,(,),*,+,-,/,;,<,=,>,a,diov,elihw(,eslaf,esle,eurt,fed,fi(,id(,nruter,num,od,rof(,taolf,tni,tnirp(,{,},$
Args,E ArgsTail,,,,,,,,,,E ArgsTail,E ArgsTail,,E ArgsTail,,E ArgsTail,,,E ArgsTail,E ArgsTail,E ArgsTail,,,E ArgsTail,E ArgsTail,,,,
ArgsTail,,ε,,,,,; E ArgsTail,,,,,,,,,,,,,,,,,,,,,,
Block,,,,,,,,,,,,,,,,,,,,,,,,,,,{ Program },,
DoWhileStmt,,,,,,,,,,,,,,,,,,,,,,od Block elihw( E ),,,,,,,
E,T E',,,,,,,,,,T E',T E',,T E',,T E',,,T E',T E',T E',,,T E',T E',,,,
E',ε,ε,,+ T E',- T E',,ε,,,,ε,ε,ε,ε,,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,,ε,ε
ExprStmt,E,,,,,,,,,,E,E,,E,,E,,,E,E,E,,,E,E,,,,
F,( E ),,,,,,,,,,id,id,,id,,id,,,id( Args ),id,num,,,id,id,,,,
ForStmt,,,,,,,,,,,,,,,,,,,,,,,rof( OptExpr ; OptExpr ; OptExpr ) Block,,,,,,
FuncDecl,,,,,,,,,,,,,,,,,fed id ( Params ) { Program },,,,,,,,,,,,
G,F G',,,,,,,,,,F G',F G',,F G',,F G',,,F G',F G',F G',,,F G',F G',,,,
G',ε,ε,ε,ε,ε,ε,ε,< F G',= F G',> F G',ε,ε,ε,ε,,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,,ε,ε
IfStmt,,,,,,,,,,,,,,,,,,fi( E ) Block IfStmtail,,,,,,,,,,,
IfStmtail,ε,,,,,,,,,,ε,ε,ε,ε,esle Block,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,,ε,
OptExpr,E,ε,,,,,ε,,,,E,E,,E,,E,,,E,E,E,,,E,E,,,,
Param,,,,,,,,,,,id,id,,id,,id,,,,id,,,,id,id,,,,
Params,,ε,,,,,,,,,Param ParamsTail,Param ParamsTail,,Param ParamsTail,,Param ParamsTail,,,,Param ParamsTail,,,,Param ParamsTail,Param ParamsTail,,,,
ParamsTail,,ε,,,,,; Param ParamsTail,,,,,,,,,,,,,,,,,,,,,,
PrintStmt,,,,,,,,,,,,,,,,,,,,,,,,,,tnirp( Args ),,,
Program,Stmt Program,,,,,,,,,,Stmt Program,Stmt Program,Stmt Program,Stmt Program,,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,Stmt Program,,ε,
Stmt,ExprStmt,,,,,,,,,,ExprStmt,ExprStmt,WhileStmt,ExprStmt,,ExprStmt,FuncDecl,IfStmt,ExprStmt,ExprStmt,ExprStmt,DoWhileStmt,ForStmt,ExprStmt,ExprStmt,PrintStmt,,,
T,G T',,,,,,,,,,G T',G T',,G T',,G T',,,G T',G T',G T',,,G T',G T',,,,
T',ε,ε,* G T',ε,ε,/ G T',ε,,,,ε,ε,ε,ε,,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,,ε,ε
WhileStmt,,,,,,,,,,,,,elihw( E ) Block,,,,,,,,,,,,,,,,
id,,,,,,,,,,,a,diov,,eslaf,,eurt,,,,nruter,,,,taolf,tni,,,,
